Subject,Marks,Hours,Student_id,Year
Maths,63.7,1.6,S12747,1
Language,76.9,1.7,S12748,2
Science,76.6,7.9,S12748,2
Maths,69.3,1.9,S12748,2
Language,70.1,2.8,S12749,2
Science,85.3,3.8,S12749,2
Maths,77.6,6.0,S12749,2
Language,69.9,2.9,S12750,4
Science,89.1,2.3,S12750,4
Maths,92.5,5.4,S12750,4
Language,84.7,1.1,S12751,1
Science,91.4,4.8,S12751,1
Maths,66.5,2.5,S12751,1
Language,80.9,1.6,S12752,3
Science,98.2,6.9,S12752,3
Maths,77.1,3.1,S12752,3
Language,77.8,1.8,S12753,2
Science,61.5,1.7,S12753,2
Maths,41.7,2.3,S12753,2
Language,67.4,2.6,S12754,4
Science,83.0,3.9,S12754,4
Maths,76.1,4.0,S12754,4
Language,58.9,2.6,S12755,3
Science,91.0,6.7,S12755,3
Maths,61.1,6.6,S12755,3
Language,80.1,1.2,S12756,1
Science,96.0,7.1,S12756,1
Maths,83.0,7.9,S12756,1
Language,80.0,2.5,S12757,4
Science,78.5,2.6,S12757,4
Maths,68.5,3.4,S12757,4
Language,73.2,1.3,S12758,2
Science,79.1,7.8,S12758,2
Maths,80.0,5.9,S12758,2
Language,71.2,2.8,S12759,3
Science,95.0,4.6,S12759,3
Maths,72.5,2.6,S12759,3
Language,77.6,1.5,S12760,2
Science,100.0,5.6,S12760,2
Maths,61.3,5.8,S12760,2
Language,74.2,2.3,S12761,1
Science,90.6,4.9,S12761,1
Maths,82.3,5.5,S12761,1
Language,64.7,2.7,S12762,3
Science,97.3,5.8,S12762,3
Maths,49.7,7.6,S12762,3
Language,74.5,1.3,S12763,1
Science,90.7,6.2,S12763,1
Maths,57.9,7.1,S12763,1
Language,68.5,2.1,S12764,1
Science,73.5,3.0,S12764,1
Maths,80.9,4.2,S12764,1
Language,62.5,2.5,S12765,4
Science,97.8,5.7,S12765,4
Maths,32.1,6.9,S12765,4
Language,80.0,1.1,S12766,2
Science,93.5,5.5,S12766,2
Maths,71.5,2.5,S12766,2
Language,77.4,2.8,S12767,3
Science,70.6,2.2,S12767,3
Maths,76.7,5.0,S12767,3
Language,79.9,2.1,S12768,1
Science,58.3,1.0,S12768,1
Maths,82.1,4.6,S12768,1
Language,75.4,1.1,S12769,1
Science,92.6,6.8,S12769,1
Maths,64.9,2.1,S12769,1
Language,74.7,2.3,S12770,3
Science,100.0,6.1,S12770,3
Maths,32.4,1.7,S12770,3
Language,71.8,2.9,S12771,1
Science,91.1,7.0,S12771,1
Maths,76.2,3.4,S12771,1
Language,76.9,2.8,S12772,4
Science,89.6,6.2,S12772,4
Maths,81.6,1.1,S12772,4
Language,79.1,1.4,S12773,4
Science,88.5,4.4,S12773,4
Maths,65.3,6.4,S12773,4
Language,78.4,1.6,S12774,4
Science,81.9,3.9,S12774,4
Maths,59.3,7.4,S12774,4
Language,81.7,1.7,S12775,4
Science,84.6,3.3,S12775,4
Maths,34.5,6.6,S12775,4
Language,76.5,1.6,S12776,1
Science,58.1,1.5,S12776,1
Maths,68.0,5.9,S12776,1
Language,94.8,1.6,S12777,3
Science,93.0,7.3,S12777,3
Maths,55.6,6.1,S12777,3
Language,81.5,1.2,S12778,3
Science,66.6,1.2,S12778,3
Maths,81.4,1.9,S12778,3
Language,78.4,2.5,S12779,3
Science,100.0,6.0,S12779,3
Maths,82.1,5.0,S12779,3
Language,84.4,1.5,S12780,3
Science,86.0,4.0,S12780,3
Maths,62.9,1.2,S12780,3
Language,67.7,2.9,S12781,2
Science,88.9,4.9,S12781,2
Maths,61.1,2.8,S12781,2
Language,78.1,1.0,S12782,3
Science,65.5,2.4,S12782,3
Maths,68.5,1.6,S12782,3
Language,72.1,2.9,S12783,2
Science,100.0,5.3,S12783,2
Maths,48.9,6.5,S12783,2
Language,67.1,2.5,S12784,2
Science,91.9,7.5,S12784,2
Maths,55.7,2.3,S12784,2
Language,81.6,1.3,S12785,4
Science,93.7,6.8,S12785,4
Maths,71.7,5.8,S12785,4
Language,70.8,2.3,S12786,2
Science,90.2,6.8,S12786,2
Maths,79.7,2.2,S12786,2
Language,66.7,2.0,S12787,1
Science,74.9,2.4,S12787,1
Maths,45.9,1.6,S12787,1
Language,71.8,2.2,S12788,2
Science,77.3,2.1,S12788,2
Maths,62.0,2.2,S12788,2
Language,85.0,1.1,S12789,4
Science,95.9,4.3,S12789,4
Maths,83.1,4.4,S12789,4
Language,73.9,2.7,S12790,2
Science,95.5,6.7,S12790,2
Maths,81.5,4.8,S12790,2
Language,85.9,1.7,S12791,1
Science,98.0,5.0,S12791,1
Maths,58.8,3.0,S12791,1
Language,83.3,1.2,S12792,1
Science,84.8,3.7,S12792,1
Maths,55.7,6.2,S12792,1
Language,72.8,1.2,S12793,1
Science,77.2,2.0,S12793,1
Maths,83.7,2.5,S12793,1
Language,74.5,1.9,S12794,4
Science,62.2,1.1,S12794,4
Maths,68.7,5.6,S12794,4
Language,87.3,1.9,S12795,4
Science,94.2,5.0,S12795,4
Maths,79.6,4.9,S12795,4
Language,78.6,1.3,S12796,3
Science,97.3,5.5,S12796,3
Maths,79.0,5.1,S12796,3
Language,73.4,1.1,S12797,4
Science,100.0,5.3,S12797,4
Maths,70.4,7.3,S12797,4
Language,73.5,2.7,S12798,1
Science,68.2,1.5,S12798,1
Maths,59.4,1.3,S12798,1
Language,78.3,2.6,S12799,1
Science,90.0,3.2,S12799,1
Maths,47.8,7.4,S12799,1
Language,80.7,1.2,S12800,4
Science,84.1,3.2,S12800,4
Maths,65.8,3.5,S12800,4
Language,77.7,1.4,S12801,2
Science,100.0,6.9,S12801,2
Maths,75.4,2.3,S12801,2
Language,71.8,2.7,S12802,4
Science,93.5,7.4,S12802,4
Maths,73.8,6.9,S12802,4
Language,83.5,1.2,S12803,4
Science,71.9,2.9,S12803,4
Maths,80.3,4.5,S12803,4
Language,75.9,1.4,S12804,1
Science,97.6,5.7,S12804,1
Maths,82.0,5.5,S12804,1
Language,75.2,1.2,S12805,3
Science,90.7,4.4,S12805,3
Maths,79.8,3.4,S12805,3
Language,73.2,1.3,S12806,1
Science,88.3,3.5,S12806,1
Maths,91.3,4.3,S12806,1
Language,79.6,2.1,S12807,3
Science,92.6,3.5,S12807,3
Maths,57.2,1.4,S12807,3
Language,75.6,2.4,S12808,1
Science,66.2,1.1,S12808,1
Maths,42.1,2.3,S12808,1
Language,67.0,2.9,S12809,4
Science,99.0,5.6,S12809,4
Maths,57.1,6.2,S12809,4
Language,70.9,1.6,S12810,1
Science,83.5,7.8,S12810,1
Maths,72.1,4.6,S12810,1
Language,75.3,2.7,S12811,1
Science,70.3,1.4,S12811,1
Maths,50.7,6.3,S12811,1
Language,69.3,2.8,S12812,1
Science,80.0,7.1,S12812,1
Maths,76.3,6.5,S12812,1
Language,77.8,1.1,S12813,4
Science,89.2,6.5,S12813,4
Maths,65.9,4.5,S12813,4
Language,89.3,1.9,S12814,4
Science,89.4,3.3,S12814,4
Maths,52.2,2.2,S12814,4
Language,82.0,2.0,S12815,4
Science,98.8,5.5,S12815,4
Maths,67.8,1.3,S12815,4
Language,71.4,2.7,S12816,4
Science,87.4,7.8,S12816,4
Maths,55.0,4.8,S12816,4
Language,71.1,2.3,S12817,3
Science,72.1,2.6,S12817,3
Maths,59.4,4.9,S12817,3
Language,72.4,1.6,S12818,3
Science,77.3,2.8,S12818,3
Maths,83.7,1.3,S12818,3
Language,79.9,1.4,S12819,2
Science,88.2,3.6,S12819,2
Maths,73.7,3.7,S12819,2
Language,80.2,2.1,S12820,4
Science,77.4,7.8,S12820,4
Maths,52.7,8.0,S12820,4
Language,81.9,2.0,S12821,3
Science,83.6,3.5,S12821,3
Maths,74.7,4.6,S12821,3
Language,63.3,3.0,S12822,1
Science,62.5,1.2,S12822,1
Maths,95.9,3.5,S12822,1
Language,81.2,2.1,S12823,4
Science,100.0,5.9,S12823,4
Maths,47.2,1.9,S12823,4
Language,75.0,1.5,S12824,2
Science,87.7,7.5,S12824,2
Maths,92.4,5.9,S12824,2
Language,67.9,1.9,S12825,2
Science,88.8,4.3,S12825,2
Maths,53.3,2.5,S12825,2
Language,76.5,1.0,S12826,2
Science,56.3,1.2,S12826,2
Maths,66.2,5.3,S12826,2
Language,74.8,2.2,S12827,1
Science,82.1,8.0,S12827,1
Maths,77.3,1.4,S12827,1
Language,78.3,1.6,S12828,3
Science,87.0,5.6,S12828,3
Maths,48.1,6.2,S12828,3
Language,71.3,1.6,S12829,1
Science,76.5,3.5,S12829,1
Maths,60.6,4.4,S12829,1
Language,75.3,1.8,S12830,4
Science,87.4,3.1,S12830,4
Maths,56.3,6.4,S12830,4
Language,79.0,2.3,S12831,2
Science,61.0,1.4,S12831,2
Maths,60.6,1.2,S12831,2
Language,79.3,2.2,S12832,1
Science,84.2,7.3,S12832,1
Maths,61.7,2.0,S12832,1
Language,87.9,1.2,S12833,1
Science,98.7,5.6,S12833,1
Maths,96.5,7.5,S12833,1
Language,75.0,2.0,S12834,3
Science,69.4,1.8,S12834,3
Maths,78.7,4.3,S12834,3
Language,66.9,2.4,S12835,3
Science,92.6,4.3,S12835,3
Maths,46.2,1.6,S12835,3
Language,73.5,2.4,S12836,2
Science,94.1,5.0,S12836,2
Maths,45.0,7.5,S12836,2
Language,77.3,1.9,S12837,1
Science,100.0,5.6,S12837,1
Maths,66.3,2.3,S12837,1
Language,72.5,2.9,S12838,1
Science,99.0,6.1,S12838,1
Maths,61.5,1.5,S12838,1
Language,73.7,1.4,S12839,3
Science,99.2,7.0,S12839,3
Maths,69.9,5.6,S12839,3
Language,73.3,1.6,S12840,1
Science,85.9,6.6,S12840,1
Maths,82.4,5.1,S12840,1
Language,76.6,1.1,S12841,1
Science,100.0,5.9,S12841,1
Maths,53.4,7.5,S12841,1
Language,66.7,2.5,S12842,1
Science,91.0,6.6,S12842,1
Maths,77.0,4.2,S12842,1
Language,75.1,1.6,S12843,3
Science,62.8,1.3,S12843,3
Maths,84.3,3.0,S12843,3
Language,78.3,2.4,S12844,2
Science,78.8,2.5,S12844,2
Maths,77.1,4.4,S12844,2
Language,69.7,2.7,S12845,4
Science,70.8,1.8,S12845,4
Maths,81.5,3.4,S12845,4
Language,83.7,2.4,S12846,2
Science,100.0,5.7,S12846,2
Maths,78.2,4.9,S12846,2
Language,76.2,2.8,S12847,4
Science,100.0,5.1,S12847,4
Maths,75.9,7.9,S12847,4
Language,71.4,1.2,S12848,1
Science,95.9,5.4,S12848,1
Maths,59.3,6.6,S12848,1
Language,74.5,2.6,S12849,2
Science,82.5,7.4,S12849,2
Maths,82.9,5.3,S12849,2
Language,69.6,2.9,S12850,4
Science,78.2,2.7,S12850,4
Maths,55.9,7.7,S12850,4
Language,74.4,1.8,S12851,3
Science,91.7,5.1,S12851,3
Maths,71.7,7.4,S12851,3
Language,64.9,2.8,S12852,3
Science,85.5,5.9,S12852,3
Maths,61.9,5.6,S12852,3
Language,67.5,1.7,S12853,2
Science,85.6,2.6,S12853,2
Maths,53.6,6.2,S12853,2
Language,78.6,2.6,S12854,2
Science,56.9,1.0,S12854,2
Maths,80.4,4.3,S12854,2
Language,81.6,1.9,S12855,1
Science,98.2,5.5,S12855,1
Maths,73.0,6.6,S12855,1
Language,73.1,3.0,S12856,2
Science,71.6,1.3,S12856,2
Maths,88.8,3.6,S12856,2
Language,77.0,1.9,S12857,1
Science,91.1,7.7,S12857,1
Maths,66.3,3.9,S12857,1
Language,71.9,2.0,S12858,1
Science,71.7,1.7,S12858,1
Maths,89.3,4.6,S12858,1
Language,71.2,2.9,S12859,3
Science,72.5,1.4,S12859,3
Maths,72.9,7.9,S12859,3
Language,71.4,2.9,S12860,3
Science,80.2,2.1,S12860,3
Maths,91.0,3.7,S12860,3
Language,76.5,2.3,S12861,4
Science,100.0,6.0,S12861,4
Maths,52.3,2.0,S12861,4
Language,77.6,1.3,S12862,3
Science,80.2,7.4,S12862,3
Maths,68.2,5.1,S12862,3
Language,66.4,2.8,S12863,3
Science,84.6,4.0,S12863,3
Maths,98.4,3.6,S12863,3
Language,83.7,1.4,S12864,2
Science,83.8,2.9,S12864,2
Maths,52.6,6.5,S12864,2
Language,67.2,2.7,S12865,3
Science,69.7,2.4,S12865,3
Maths,57.5,4.1,S12865,3
Language,75.2,2.7,S12866,4
Science,97.0,5.3,S12866,4
Maths,63.6,4.7,S12866,4
Language,70.1,2.2,S12867,2
Science,90.9,4.1,S12867,2
Maths,83.9,4.6,S12867,2
Language,74.2,1.8,S12868,4
Science,85.9,2.9,S12868,4
Maths,83.7,7.0,S12868,4
Language,82.4,2.2,S12869,3
Science,93.6,6.0,S12869,3
Maths,63.5,6.1,S12869,3
Language,76.0,1.2,S12870,4
Science,96.2,4.7,S12870,4
Maths,70.7,5.6,S12870,4
Language,65.0,2.9,S12871,2
Science,91.7,4.1,S12871,2
Maths,59.2,6.7,S12871,2
Language,75.0,2.7,S12872,1
Science,69.7,1.6,S12872,1
Maths,60.0,2.6,S12872,1
Language,78.8,1.8,S12873,4
Science,89.7,6.9,S12873,4
Maths,66.9,3.6,S12873,4
Language,71.5,1.7,S12874,4
Science,68.7,2.2,S12874,4
Maths,75.2,5.5,S12874,4
Language,81.2,1.6,S12875,2
Science,64.4,2.1,S12875,2
Maths,65.5,5.2,S12875,2
Language,82.7,2.6,S12876,2
Science,91.3,6.0,S12876,2
Maths,82.6,7.7,S12876,2
Language,70.9,2.1,S12877,4
Science,89.8,4.4,S12877,4
Maths,83.8,1.9,S12877,4
Language,67.8,2.0,S12878,3
Science,88.0,7.5,S12878,3
Maths,43.1,2.6,S12878,3
Language,73.0,2.1,S12879,4
Science,74.3,3.2,S12879,4
Maths,59.1,1.4,S12879,4
Language,65.1,2.6,S12880,2
Science,69.1,1.3,S12880,2
Maths,30.0,7.1,S12880,2
Language,71.1,2.5,S12881,1
Science,83.3,7.1,S12881,1
Maths,57.6,4.0,S12881,1
Language,65.6,2.8,S12882,1
Science,77.1,2.3,S12882,1
Maths,47.0,2.6,S12882,1
Language,69.7,2.3,S12883,3
Science,75.8,1.8,S12883,3
Maths,61.0,3.0,S12883,3
Language,81.8,1.1,S12884,4
Science,69.9,1.5,S12884,4
Maths,80.8,3.7,S12884,4
Language,66.8,2.0,S12885,1
Science,90.0,4.4,S12885,1
Maths,53.8,6.2,S12885,1
Language,75.4,2.8,S12886,4
Science,91.7,7.6,S12886,4
Maths,38.4,2.8,S12886,4
Language,78.8,2.5,S12887,2
Science,92.1,7.0,S12887,2
Maths,30.0,1.8,S12887,2
Language,70.4,1.8,S12888,1
Science,86.1,7.3,S12888,1
Maths,72.4,2.0,S12888,1
Language,72.4,2.8,S12889,3
Science,94.2,6.6,S12889,3
Maths,53.3,2.9,S12889,3
Language,75.7,2.8,S12890,2
Science,69.5,1.6,S12890,2
Maths,77.7,5.1,S12890,2
Language,80.7,1.1,S12891,3
Science,87.6,7.6,S12891,3
Maths,70.2,5.9,S12891,3
Language,74.7,1.2,S12892,2
Science,92.2,6.3,S12892,2
Maths,42.6,6.9,S12892,2
Language,81.5,1.0,S12893,1
Science,100.0,5.9,S12893,1
Maths,70.1,6.7,S12893,1
Language,86.5,1.9,S12894,3
Science,91.8,7.5,S12894,3
Maths,34.0,7.5,S12894,3
Language,73.1,3.0,S12895,3
Science,100.0,5.8,S12895,3
Maths,54.4,3.9,S12895,3
Language,77.6,2.8,S12896,2
Science,90.1,6.9,S12896,2
Maths,70.7,6.8,S12896,2
Language,78.2,1.8,S12897,3
Science,68.0,1.8,S12897,3
Maths,78.5,1.9,S12897,3
Language,81.4,1.2,S12898,2
Science,91.7,6.0,S12898,2
Maths,52.9,2.4,S12898,2
Language,75.8,2.6,S12899,2
Science,90.3,4.4,S12899,2
Maths,89.4,3.4,S12899,2
Language,67.1,2.7,S12900,2
Science,100.0,5.4,S12900,2
Maths,65.2,1.9,S12900,2
Language,77.6,1.5,S12901,2
Science,100.0,6.1,S12901,2
Maths,47.6,2.4,S12901,2
Language,80.7,1.9,S12902,1
Science,100.0,5.0,S12902,1
Maths,71.3,5.3,S12902,1
Language,71.0,2.8,S12903,2
Science,89.4,6.8,S12903,2
Maths,41.8,6.4,S12903,2
Language,68.5,3.0,S12904,4
Science,92.5,3.8,S12904,4
Maths,62.5,4.2,S12904,4
Language,84.1,1.0,S12905,3
Science,61.4,2.0,S12905,3
Maths,52.9,6.4,S12905,3
Language,80.2,1.2,S12906,4
Science,69.0,1.7,S12906,4
Maths,84.0,4.1,S12906,4
Language,63.2,2.6,S12907,1
Science,91.9,7.4,S12907,1
Maths,86.4,4.3,S12907,1
Language,71.2,2.2,S12908,4
Science,88.3,7.4,S12908,4
Maths,80.2,4.4,S12908,4
Language,69.2,2.8,S12909,3
Science,85.7,4.2,S12909,3
Maths,56.5,7.8,S12909,3
Language,80.8,1.4,S12910,4
Science,71.7,2.7,S12910,4
Maths,30.0,7.6,S12910,4
Language,85.7,1.3,S12911,1
Science,99.6,4.5,S12911,1
Maths,56.9,1.1,S12911,1
Language,64.8,3.0,S12912,2
Science,64.8,1.3,S12912,2
Maths,67.3,4.8,S12912,2
Language,72.4,1.5,S12913,4
Science,93.0,5.6,S12913,4
Maths,76.0,4.7,S12913,4
Language,74.9,2.6,S12914,1
Science,70.5,2.0,S12914,1
Maths,73.6,8.0,S12914,1
Language,84.7,2.0,S12915,1
Science,62.9,1.2,S12915,1
Maths,67.9,1.6,S12915,1
Language,80.7,1.0,S12916,3
Science,95.8,5.3,S12916,3
Maths,78.1,4.5,S12916,3
Language,65.4,2.0,S12917,3
Science,60.3,1.1,S12917,3
Maths,59.0,7.3,S12917,3
Language,73.8,2.5,S12918,4
Science,96.8,4.2,S12918,4
Maths,66.5,2.6,S12918,4
Language,78.8,1.5,S12919,2
Science,67.8,2.2,S12919,2
Maths,84.8,3.9,S12919,2
Language,78.1,1.8,S12920,1
Science,100.0,5.1,S12920,1
Maths,62.7,2.9,S12920,1
Language,73.1,2.9,S12921,4
Science,100.0,5.1,S12921,4
Maths,79.7,3.4,S12921,4
Language,70.1,2.9,S12922,1
Science,98.7,5.5,S12922,1
Maths,80.3,4.9,S12922,1
Language,75.9,2.2,S12923,1
Science,86.2,6.7,S12923,1
Maths,67.7,4.0,S12923,1
Language,75.9,2.4,S12924,2
Science,83.1,3.8,S12924,2
Maths,61.2,6.6,S12924,2
Language,72.4,2.3,S12925,2
Science,91.5,7.6,S12925,2
Maths,69.8,7.3,S12925,2
Language,76.5,2.4,S12926,4
Science,92.0,6.2,S12926,4
Maths,82.1,4.0,S12926,4
Language,72.0,3.0,S12927,2
Science,82.5,7.7,S12927,2
Maths,33.2,1.8,S12927,2
Language,75.9,1.5,S12928,2
Science,100.0,5.3,S12928,2
Maths,68.9,5.7,S12928,2
Language,79.7,1.6,S12929,4
Science,90.6,4.1,S12929,4
Maths,78.9,7.2,S12929,4
Language,73.2,1.7,S12930,2
Science,96.4,6.4,S12930,2
Maths,71.9,4.2,S12930,2
Language,73.3,1.8,S12931,3
Science,95.1,6.2,S12931,3
Maths,69.3,6.0,S12931,3
Language,70.1,2.3,S12932,1
Science,100.0,5.1,S12932,1
Maths,82.9,7.6,S12932,1
Language,80.1,2.5,S12933,1
Science,85.5,3.3,S12933,1
Maths,63.7,1.1,S12933,1
Language,70.3,2.7,S12934,1
Science,82.6,7.0,S12934,1
Maths,89.9,6.8,S12934,1
Language,72.6,1.8,S12935,1
Science,93.0,3.5,S12935,1
Maths,70.5,4.5,S12935,1
Language,67.1,2.6,S12936,4
Science,100.0,4.2,S12936,4
Maths,75.0,6.7,S12936,4
Language,73.6,2.4,S12937,1
Science,91.4,4.9,S12937,1
Maths,54.6,7.9,S12937,1
Language,68.3,2.1,S12938,1
Science,87.6,3.3,S12938,1
Maths,72.5,3.3,S12938,1
Language,84.5,2.0,S12939,1
Science,98.3,5.1,S12939,1
Maths,62.3,6.4,S12939,1
Language,68.4,2.1,S12940,1
Science,95.0,3.9,S12940,1
Maths,60.0,2.6,S12940,1
Language,72.1,3.0,S12941,3
Science,94.2,4.4,S12941,3
Maths,37.2,1.3,S12941,3
Language,73.9,2.8,S12942,1
Science,100.0,5.3,S12942,1
Maths,79.1,5.1,S12942,1
Language,77.1,3.0,S12943,3
Science,91.1,6.8,S12943,3
Maths,60.5,6.0,S12943,3
Language,72.5,2.5,S12944,4
Science,75.7,2.6,S12944,4
Maths,66.6,7.1,S12944,4
Language,72.9,1.5,S12945,2
Science,96.2,3.5,S12945,2
Maths,75.7,3.3,S12945,2
Language,72.1,2.4,S12946,1
Science,90.8,3.8,S12946,1
Maths,54.0,6.2,S12946,1
Language,75.0,1.2,S12947,2
Science,84.8,4.2,S12947,2
Maths,63.9,1.2,S12947,2
Language,76.4,2.4,S12948,2
Science,84.3,4.0,S12948,2
Maths,85.6,1.4,S12948,2
Language,57.3,2.7,S12949,4
Science,90.9,6.1,S12949,4
Maths,71.5,4.2,S12949,4
Language,78.5,3.0,S12950,2
Science,96.5,5.8,S12950,2
Maths,70.4,6.9,S12950,2
Language,67.1,2.8,S12951,3
Science,73.0,2.2,S12951,3
Maths,59.0,6.5,S12951,3
Language,66.9,1.6,S12952,2
Science,100.0,4.4,S12952,2
Maths,84.4,3.5,S12952,2
Language,66.1,2.6,S12953,2
Science,91.1,7.1,S12953,2
Maths,54.8,2.8,S12953,2
Language,75.0,1.9,S12954,2
Science,78.6,2.4,S12954,2
Maths,83.8,2.1,S12954,2
Language,69.2,3.0,S12955,1
Science,94.3,6.5,S12955,1
Maths,68.0,7.3,S12955,1
Language,78.2,1.2,S12956,1
Science,90.9,7.5,S12956,1
Maths,74.8,1.5,S12956,1
Language,74.5,3.0,S12957,3
Science,98.1,6.4,S12957,3
Maths,54.2,3.6,S12957,3
Language,74.0,1.4,S12958,3
Science,94.4,4.8,S12958,3
Maths,57.9,7.3,S12958,3
Language,76.4,1.5,S12959,1
Science,73.9,1.7,S12959,1
Maths,57.4,5.0,S12959,1
Language,80.8,2.1,S12960,3
Science,86.1,6.8,S12960,3
Maths,72.5,3.4,S12960,3
Language,76.0,1.3,S12961,1
Science,92.3,4.3,S12961,1
Maths,41.9,2.5,S12961,1
Language,72.8,2.5,S12962,4
Science,69.8,2.2,S12962,4
Maths,65.7,1.0,S12962,4
Language,83.1,1.2,S12963,2
Science,94.2,5.6,S12963,2
Maths,98.6,3.9,S12963,2
Language,68.1,2.8,S12964,2
Science,75.8,3.3,S12964,2
Maths,75.8,6.4,S12964,2
Language,74.1,3.0,S12965,3
Science,66.8,1.0,S12965,3
Maths,71.4,7.4,S12965,3
Language,70.0,2.8,S12966,1
Science,61.1,1.1,S12966,1
Maths,58.8,4.8,S12966,1
Language,65.2,1.8,S12967,1
Science,92.8,7.4,S12967,1
Maths,54.3,7.3,S12967,1
Language,82.8,2.0,S12968,3
Science,93.4,6.0,S12968,3
Maths,72.1,3.3,S12968,3
Language,76.1,1.3,S12969,1
Science,84.9,3.1,S12969,1
Maths,39.9,7.7,S12969,1
Language,70.0,2.4,S12970,4
Science,90.9,3.3,S12970,4
Maths,58.4,6.9,S12970,4
Language,84.5,1.0,S12971,2
Science,92.9,6.5,S12971,2
Maths,89.0,5.8,S12971,2
Language,72.2,2.8,S12972,3
Science,95.7,3.0,S12972,3
Maths,72.6,3.1,S12972,3
Language,85.5,1.3,S12973,3
Science,54.7,1.7,S12973,3
Maths,56.0,5.6,S12973,3
Language,75.6,1.9,S12974,1
Science,82.7,7.3,S12974,1
Maths,72.3,2.1,S12974,1
Language,80.8,2.5,S12975,3
Science,71.8,2.1,S12975,3
Maths,68.6,6.9,S12975,3
Language,81.7,1.5,S12976,4
Science,91.6,3.8,S12976,4
Maths,68.1,3.7,S12976,4
Language,73.8,2.5,S12977,1
Science,65.8,1.3,S12977,1
Maths,44.2,1.7,S12977,1
Language,72.1,2.9,S12978,1
Science,96.2,6.7,S12978,1
Maths,70.0,7.2,S12978,1
Language,75.7,1.4,S12979,1
Science,97.7,3.9,S12979,1
Maths,67.1,1.2,S12979,1
Language,68.9,1.6,S12980,1
Science,99.1,6.4,S12980,1
Maths,69.4,5.6,S12980,1
Language,71.4,2.3,S12981,4
Science,89.5,4.2,S12981,4
Maths,65.4,3.1,S12981,4
Language,86.8,1.2,S12982,1
Science,100.0,5.0,S12982,1
Maths,57.3,6.8,S12982,1
Language,68.8,2.2,S12983,3
Science,100.0,5.7,S12983,3
Maths,84.3,5.6,S12983,3
Language,84.4,1.2,S12984,4
Science,89.7,8.0,S12984,4
Maths,76.6,5.9,S12984,4
Language,81.4,2.7,S12985,2
Science,87.7,8.0,S12985,2
Maths,79.8,1.6,S12985,2
Language,77.3,2.5,S12986,2
Science,72.7,1.9,S12986,2
Maths,85.1,5.6,S12986,2
Language,73.5,1.5,S12987,3
Science,91.8,5.8,S12987,3
Maths,77.9,5.6,S12987,3
Language,67.9,2.9,S12988,3
Science,94.1,7.3,S12988,3
Maths,57.6,6.5,S12988,3
Language,72.9,1.7,S12989,4
Science,100.0,6.5,S12989,4
Maths,66.8,5.2,S12989,4
Language,69.4,3.0,S12990,2
Science,97.9,6.1,S12990,2
Maths,44.0,6.8,S12990,2
Language,69.6,1.9,S12991,2
Science,82.6,2.2,S12991,2
Maths,74.5,4.5,S12991,2
Language,74.3,2.3,S12992,2
Science,92.0,7.2,S12992,2
Maths,55.6,1.9,S12992,2
Language,77.1,1.8,S12993,2
Science,74.6,3.3,S12993,2
Maths,82.3,5.5,S12993,2
Language,78.3,1.7,S12994,2
Science,79.8,2.5,S12994,2
Maths,71.5,3.4,S12994,2
Language,79.8,2.1,S12995,1
Science,90.9,5.5,S12995,1
Maths,65.3,4.3,S12995,1
Language,76.6,1.4,S12996,3
Science,80.3,3.1,S12996,3
Maths,75.9,3.2,S12996,3
Language,74.4,2.6,S12997,1
Science,57.1,1.3,S12997,1
Maths,79.7,3.8,S12997,1
Language,82.4,2.1,S12998,2
Science,89.5,7.8,S12998,2
Maths,74.3,6.7,S12998,2
Language,67.4,2.5,S12999,4
Science,91.2,6.1,S12999,4
Maths,71.7,1.4,S12999,4
Language,75.0,1.8,S13000,4
Science,97.3,5.7,S13000,4
Maths,55.5,1.0,S13000,4
Language,75.0,1.2,S13001,2
Science,92.5,6.9,S13001,2
Maths,68.4,2.7,S13001,2
Language,72.1,2.0,S13002,2
Science,91.8,4.6,S13002,2
Maths,55.8,6.1,S13002,2
Language,67.7,2.9,S13003,4
Science,80.9,4.0,S13003,4
Maths,63.5,6.5,S13003,4
Language,82.5,1.3,S13004,1
Science,86.5,4.0,S13004,1
Maths,79.3,2.4,S13004,1
Language,82.7,1.3,S13005,1
Science,76.2,2.9,S13005,1
Maths,40.5,6.3,S13005,1
Language,71.1,2.4,S13006,2
Science,76.5,2.9,S13006,2
Maths,49.0,2.0,S13006,2
Language,71.7,2.5,S13007,1
Science,88.3,6.5,S13007,1
Maths,62.3,7.2,S13007,1
Language,73.7,2.9,S13008,4
Science,85.8,6.9,S13008,4
Maths,72.6,4.8,S13008,4
Language,64.9,2.0,S13009,1
Science,88.5,3.8,S13009,1
Maths,62.8,2.7,S13009,1
Language,70.0,2.2,S13010,2
Science,87.1,3.5,S13010,2
Maths,38.5,7.3,S13010,2
Language,80.7,1.2,S13011,4
Science,86.1,4.6,S13011,4
Maths,80.7,5.4,S13011,4
Language,80.2,1.1,S13012,1
Science,58.3,1.4,S13012,1
Maths,66.3,7.2,S13012,1
Language,71.7,1.8,S13013,3
Science,88.0,3.8,S13013,3
Maths,83.9,6.1,S13013,3
Language,82.2,2.0,S13014,4
Science,100.0,5.3,S13014,4
Maths,86.8,5.3,S13014,4
Language,69.6,1.2,S13015,4
Science,90.9,3.5,S13015,4
Maths,71.9,4.6,S13015,4
Language,72.4,2.5,S13016,3
